inventory_id,product_id,warehouse,quantity_on_hand,last_updated
176,86,Draper,229,2026-03-05
178,87,Unknown,481,2026-03-29
179,88,Salt Lake City,121,2026-04-28
180,88,Lehi,122,2026-03-12
181,89,South Jordan,428,2026-03-24
183,89,Salt Lake City,123,2026-04-13
184,90,Salt Lake City,123,2026-04-20
185,90,West Valley,340,2026-03-29
186,91,Salt Lake City,199,2026-04-29
187,91,Salt Lake City,325,2026-04-08
188,92,Salt Lake City,403,2026-04-16
189,92,West Valley,375,2026-04-25
190,93,West Valley,180,2026-03-10
191,93,Draper,329,2026-03-13
192,93,Salt Lake City,350,2026-03-18
193,94,Draper,32,2026-03-02
194,94,Unknown,234,2026-04-19
195,95,Draper,453,2026-03-03
196,96,Unknown,417,2026-04-15
197,96,South Jordan,18,2026-04-19
198,97,West Valley,443,2026-04-14
199,97,Salt Lake City,63,2026-04-04
200,98,South Jordan,173,2026-03-31
201,98,South Jordan,354,2026-03-03
202,99,Lehi,217,2026-03-24
203,99,Salt Lake City,421,2026-04-13
204,99,West Valley,164,2026-04-11
205,100,Lehi,308,2026-04-21
206,100,Unknown,353,2026-04-03
207,100,Draper,21,2026-03-04
208,101,South Jordan,327,2026-03-02
209,101,Lehi,29,2026-03-22
210,102,West Valley,487,2026-03-08
211,102,Draper,311,2026-04-03
212,103,Draper,34,2026-03-21
213,104,West Valley,486,2026-03-24
214,104,South Jordan,78,2026-03-02
215,105,West Valley,390,2026-04-23
216,105,South Jordan,271,2026-04-11
217,106,Lehi,13,2026-03-31
218,106,Draper,265,2026-03-27
219,106,Salt Lake City,60,2026-04-15
220,107,South Jordan,146,2026-03-31
221,107,Draper,102,2026-03-08
222,107,Lehi,37,2026-03-05
223,108,South Jordan,349,2026-04-11
224,108,Salt Lake City,341,2026-04-27
225,108,South Jordan,281,2026-03-05
226,109,Draper,406,2026-04-17
227,109,Unknown,62,2026-03-12
228,110,Draper,404,2026-04-08
229,111,West Valley,282,2026-03-06
230,111,South Jordan,44,2026-04-06
231,111,South Jordan,367,2026-03-29
232,112,South Jordan,64,2026-03-21
233,112,Salt Lake City,37,2026-03-19
234,113,West Valley,399,2026-03-25
235,113,Draper,93,2026-04-23
236,113,South Jordan,221,2026-03-07
237,114,Salt Lake City,265,2026-04-21
238,115,West Valley,478,2026-04-09
239,116,Lehi,100,2026-03-27
240,116,Salt Lake City,140,2026-04-12
241,116,Draper,314,2026-03-30
242,117,Draper,337,2026-03-05
243,117,Unknown,309,2026-03-03
244,117,Salt Lake City,288,2026-03-07
245,118,Salt Lake City,23,2026-03-13
246,119,Lehi,292,2026-03-22
247,119,Draper,15,2026-03-22
248,119,South Jordan,279,2026-04-12
249,120,Draper,152,2026-03-18
250,120,South Jordan,30,2026-04-05
251,121,South Jordan,174,2026-04-11
252,121,Draper,441,2026-03-16
253,122,South Jordan,389,2026-03-27
254,122,Draper,54,2026-04-02
255,123,Lehi,230,2026-04-25
256,124,Lehi,484,2026-03-23
257,125,Draper,416,2026-03-26
258,125,Draper,369,2026-03-14
259,126,South Jordan,263,2026-03-06
260,127,South Jordan,46,2026-03-30
261,127,Salt Lake City,234,2026-04-18
262,128,West Valley,144,2026-03-06
263,128,Salt Lake City,431,2026-04-01
264,128,South Jordan,146,2026-03-08
265,129,South Jordan,68,2026-03-16
266,130,South Jordan,23,2026-03-26
267,130,West Valley,287,2026-03-27
268,131,Salt Lake City,258,2026-03-27
269,131,South Jordan,143,2026-03-23
270,132,Salt Lake City,201,2026-04-10
271,132,Draper,285,2026-03-14
272,132,Salt Lake City,73,2026-03-30
273,133,Unknown,23,2026-03-17
274,133,Salt Lake City,170,2026-03-29
275,134,Draper,167,2026-04-11
276,134,Unknown,83,2026-03-23
277,135,Lehi,424,2026-03-31
278,135,West Valley,362,2026-04-01
280,136,South Jordan,298,2026-03-05
281,137,Salt Lake City,495,2026-03-13
282,137,South Jordan,296,2026-03-16
283,137,Draper,26,2026-04-21
284,138,South Jordan,348,2026-03-26
285,138,Draper,485,2026-04-19
286,138,Unknown,9,2026-04-05
287,139,South Jordan,353,2026-03-30
288,140,South Jordan,70,2026-03-27
289,140,Salt Lake City,166,2026-04-01
290,140,West Valley,269,2026-04-20
291,141,Unknown,279,2026-03-13
292,141,West Valley,444,2026-03-21
293,142,Lehi,490,2026-03-27
294,142,South Jordan,152,2026-04-12
295,142,Salt Lake City,394,2026-04-18
296,143,South Jordan,178,2026-03-03
297,143,West Valley,407,2026-04-13
298,143,Draper,62,2026-03-28
299,144,South Jordan,488,2026-04-22
300,144,West Valley,148,2026-03-17
301,145,West Valley,473,2026-04-15
302,146,South Jordan,423,2026-03-03
303,146,Draper,287,2026-04-23
304,146,Salt Lake City,55,2026-03-25
305,147,Draper,25,2026-03-29
306,148,Draper,26,2026-04-10
307,149,South Jordan,394,2026-03-27
308,149,Salt Lake City,500,2026-04-05
309,149,West Valley,334,2026-03-06
310,150,South Jordan,387,2026-04-11
311,150,Draper,146,2026-03-04
312,9999,Salt Lake City,50,2026-05-01
