po_id,supplier_id_x,product_id,warehouse,po_date,expected_date,received_date,ordered_qty,received_qty,unit_cost,po_status,lead_time_days,supplier_name,supplier_country,payment_terms,sku,product_name,category,standard_cost,selling_price,supplier_id_y,active_flag,fill_rate
5027,2,49,Lehi,2026-02-09,2026-02-28,2026-03-04,285,280,58.04,Closed,23.0,Global Goods,United States,Net 60,SKU-0049,Beauty Product 49,BEA,51.41,280.98,2,N,0.9824561403508772
5028,4,91,Draper,2026-04-29,2026-05-29,2026-06-13,555,553,139.88,Open,45.0,Blue Ridge,United States,Unknown,SKU-0091,Office Product 91,OFF,135.82,170.65,4,N,0.9963963963963964
5029,2,99,Lehi,2026-01-10,2026-02-20,2026-03-09,464,451,31.31,Partial,58.0,Global Goods,United States,Net 60,SKU-0099,Electronics Product 99,ELECT,31.67,50.97,2,Y,0.9719827586206896
5030,8,129,South Jordan,2026-04-22,2026-05-16,2026-06-04,235,219,52.83,Open,43.0,Metro Logistics,United States,Net 60,SKU-0129,Electronics Product 129,electronics,55.42,95.57,8,Y,0.9319148936170212
5031,1,30,South Jordan,2026-04-13,2026-05-01,2026-05-10,620,578,42.63,Open,27.0,Acme Supply,China,Net 60,SKU-0030,Beauty Product 30,BEA,43.54,35.23,1,N,0.932258064516129
5032,2,9,West Valley,2026-02-22,2026-03-07,2026-03-02,182,161,122.96,Open,8.0,Global Goods,United States,Net 60,SKU-0009,Home Product 9,Home,120.72,235.32,2,Unknown,0.8846153846153846
5033,2,48,South Jordan,2026-03-03,2026-03-29,2026-04-10,210,171,98.05,Closed,38.0,Global Goods,United States,Net 60,SKU-0048,Home Product 48,Home,85.2,299.56,2,Y,0.8142857142857143
5034,3,148,West Valley,2026-03-23,2026-04-24,2026-04-26,278,248,115.61,Closed,34.0,Primesource,Vietnam,Net 45,SKU 0148,Beauty Product 148, Beauty ,101.47,124.32,3,Unknown,0.8920863309352518
5035,6,77,Lehi,2025-12-12,2026-01-02,2026-01-13,130,94,96.95,Closed,32.0,Evergreen Imports,Vietnam,Net 30,SKU-0077,Home Product 77,HOME,95.2,195.39,6,Y,0.7230769230769231
5036,4,8,Unknown,2026-01-12,2026-02-20,2026-02-24,927,915,174.14,Open,43.0,Blue Ridge,United States,Unknown,SKU-0008,Sports Product 8,SPO,159.95,118.07,4,N,0.9870550161812298
5037,4,36,Draper,2026-01-04,2026-02-01,2026-01-28,112,90,76.76,Closed,24.0,Blue Ridge,United States,Unknown,SKU-0036,Pet Product 36,pet,78.83,94.39,4,Unknown,0.8035714285714286
5038,4,102,Lehi,2026-01-13,2026-02-18,2026-02-17,225,206,204.25,Open,35.0,Blue Ridge,United States,Unknown,SKU-0102,Office Product 102, Office ,169.76,71.52,4,Y,0.9155555555555556
5039,2,48,Unknown,2026-01-31,2026-02-20,2026-03-10,270,221,77.67,Partial,38.0,Global Goods,United States,Net 60,SKU-0048,Home Product 48,Home,85.2,299.56,2,Y,0.8185185185185185
5040,1,2,Draper,2026-04-03,2026-04-20,2026-04-30,583,553,22.73,Closed,27.0,Acme Supply,China,Net 60,SKU-0002,Home Product 2,HOM,20.21,135.25,1,Y,0.948542024013722
5041,1,119,South Jordan,2026-02-02,2026-02-15,2026-02-20,801,752,33.23,Partial,18.0,Acme Supply,China,Net 60,SKU-0119,Electronics Product 119,ELECT,27.15,27.97,1,Y,0.9388264669163544
5042,7,73,Salt Lake City,2026-03-20,2026-05-04,2026-05-01,375,361,28.52,Open,42.0,Summit Trading,China,Net 30,SKU-0073,Sports Product 73,SPO,27.28,134.83,7,N,0.9626666666666668
5043,4,46,South Jordan,2026-01-31,2026-03-02,2026-03-13,862,858,34.66,Closed,41.0,Blue Ridge,United States,Unknown,SKU-0046,Kitchen Product 46,KITCHEN,40.75,219.11,4,Y,0.9953596287703016
5044,4,36,South Jordan,2026-04-08,2026-04-27,2026-05-01,465,424,69.93,Closed,23.0,Blue Ridge,United States,Unknown,SKU-0036,Pet Product 36,pet,78.83,94.39,4,Unknown,0.9118279569892472
5045,3,109,Lehi,2026-01-09,2026-02-03,2026-02-19,860,834,10.44,Closed,41.0,Primesource,Vietnam,Net 45,SKU-0109,Office Product 109,OFFICE,10.02,257.52,3,N,0.9697674418604652
5046,6,42,Salt Lake City,2026-03-13,2026-04-22,2026-05-01,845,804,93.92,Closed,49.0,Evergreen Imports,Vietnam,Net 30,SKU-0042,Beauty Product 42,Beauty,106.36,169.53,6,Y,0.9514792899408284
5047,1,4,Salt Lake City,2026-01-12,2026-02-08,2026-02-19,413,382,94.02,Closed,38.0,Acme Supply,China,Net 60,SKU-0004,Office Product 4,office,83.61,94.28,1,Unknown,0.9249394673123488
5048,3,109,South Jordan,2025-12-15,2026-01-10,2026-01-28,669,637,8.98,Partial,44.0,Primesource,Vietnam,Net 45,SKU-0109,Office Product 109,OFFICE,10.02,257.52,3,N,0.9521674140508222
5049,2,122,South Jordan,2026-02-25,2026-04-07,,134,0,197.55,Open,,Global Goods,United States,Net 60,SKU-0122,Electronics Product 122,ELECTRONICS,169.69,151.15,2,N,0.0
5050,2,99,Unknown,2025-12-22,2026-01-07,2026-01-24,624,585,30.19,Closed,33.0,Global Goods,United States,Net 60,SKU-0099,Electronics Product 99,ELECT,31.67,50.97,2,Y,0.9375
5051,1,112,West Valley,2025-12-14,2026-01-19,2026-01-17,908,905,123.44,Open,34.0,Acme Supply,China,Net 60,SKU-0112,Beauty Product 112, Beauty ,118.03,154.88,1,Y,0.9966960352422908
5052,6,95,Unknown,2026-02-04,2026-03-10,2026-03-14,805,788,84.01,Closed,38.0,Evergreen Imports,Vietnam,Net 30,SKU-0095,Electronics Product 95,ELECTRONICS,71.34,75.32,6,Y,0.9788819875776398
5053,3,76,Salt Lake City,2026-03-03,2026-04-05,2026-04-10,324,302,136.09,Open,38.0,Primesource,Vietnam,Net 45,SKU-0076,Pet Product 76, Pet ,123.23,160.68,3,N,0.9320987654320988
5054,8,137,Draper,2026-03-13,2026-04-04,2026-04-16,116,76,33.1,Closed,34.0,Metro Logistics,United States,Net 60,SKU-0137,Pet Product 137,PET,36.76,181.82,8,Y,0.6551724137931034
5055,7,111,Unknown,2026-02-10,2026-03-11,,725,0,187.47,Open,,Summit Trading,China,Net 30,SKU 0111,Electronics Product 111,ELECT,170.91,39.4,7,N,0.0
5056,3,118,Salt Lake City,2025-12-12,2025-12-23,2025-12-19,170,146,49.01,Open,7.0,Primesource,Vietnam,Net 45,SKU-0118,Beauty Product 118,BEAUTY,44.81,0.0,3,Y,0.8588235294117647
5057,1,21,Lehi,2026-02-26,2026-03-24,2026-03-19,208,162,69.33,Open,21.0,Acme Supply,China,Net 60,SKU-0021,Kitchen Product 21,Kitchen,56.36,60.07,1,N,0.7788461538461539
5058,7,111,Draper,2025-12-31,2026-01-19,2026-01-23,650,606,180.42,Open,23.0,Summit Trading,China,Net 30,SKU 0111,Electronics Product 111,ELECT,170.91,39.4,7,N,0.9323076923076924
5059,5,96,Draper,2026-04-27,2026-06-03,2026-06-11,301,284,156.92,Open,45.0,Utah Wholesale,Mexico,Net 60,SKU-0096,Office Product 96,OFFICE,136.6,252.1,5,Unknown,0.9435215946843852
5061,2,34,Draper,2026-02-10,2026-03-06,2026-03-26,670,656,84.76,Open,44.0,Global Goods,United States,Net 60,SKU-0034,Office Product 34, Office ,86.73,222.79,2,Y,0.9791044776119404
5062,5,84,South Jordan,2026-01-27,2026-02-07,2026-02-25,749,712,147.81,Closed,29.0,Utah Wholesale,Mexico,Net 60,SKU-0084,Pet Product 84,pet,135.14,150.28,5,Unknown,0.9506008010680908
5063,4,85,West Valley,2026-04-19,2026-05-20,2026-06-01,32,10,137.24,Closed,43.0,Blue Ridge,United States,Unknown,SKU-0085,Beauty Product 85,BEAUTY,139.02,163.57,4,Y,0.3125
5064,1,39,Lehi,2026-03-30,2026-05-07,2026-05-24,194,169,47.47,Open,55.0,Acme Supply,China,Net 60,SKU-0039,Pet Product 39, Pet ,42.41,129.3,1,N,0.8711340206185567
5065,8,147,Unknown,2025-12-22,2026-01-29,2026-02-04,105,82,119.85,Partial,44.0,Metro Logistics,United States,Net 60,SKU-0147,Sports Product 147,SPO,128.45,133.41,8,N,0.780952380952381
5066,6,75,Draper,2026-02-20,2026-03-27,2026-03-22,179,140,88.25,Partial,30.0,Evergreen Imports,Vietnam,Net 30,SKU-0075,Sports Product 75,sports,80.23,180.3,6,N,0.7821229050279329
5067,2,145,Lehi,2026-03-22,2026-04-24,,43,0,116.67,Open,,Global Goods,United States,Net 60,SKU-0145,Toys Product 145,TOYS,101.4,172.39,2,N,0.0
5068,2,126,Salt Lake City,2026-01-31,2026-03-03,,154,0,104.65,Open,,Global Goods,United States,Net 60,SKU-0126,Office Product 126,OFFICE,104.51,32.17,2,Unknown,0.0
5069,4,102,Draper,2026-01-26,2026-02-15,,604,0,163.94,Closed,,Blue Ridge,United States,Unknown,SKU-0102,Office Product 102, Office ,169.76,71.52,4,Y,0.0
5070,8,141,West Valley,2026-03-16,2026-04-14,2026-04-22,942,893,162.76,Partial,37.0,Metro Logistics,United States,Net 60,SKU-0141,Office Product 141,OFF,149.36,15.33,8,N,0.9479830148619958
5071,6,28,South Jordan,2026-02-21,2026-04-01,2026-04-08,250,202,89.31,Closed,46.0,Evergreen Imports,Vietnam,Net 30,SKU-0028,Beauty Product 28,BEAUTY,74.82,206.43,6,N,0.808
5072,1,74,Salt Lake City,2026-03-27,2026-04-13,,201,0,105.64,Open,,Acme Supply,China,Net 60,SKU 0074,Toys Product 74,TOY,104.59,130.73,1,Y,0.0
5073,6,86,South Jordan,2026-03-30,2026-04-17,2026-04-15,412,386,140.53,Closed,16.0,Evergreen Imports,Vietnam,Net 30,SKU-0086,Pet Product 86,Pet,129.87,81.83,6,Y,0.9368932038834952
5074,2,49,South Jordan,2025-12-09,2025-12-30,2026-01-13,535,534,64.24,Partial,35.0,Global Goods,United States,Net 60,SKU-0049,Beauty Product 49,BEA,51.41,280.98,2,N,0.9981308411214952
5075,8,64,Salt Lake City,2026-01-13,2026-02-25,2026-03-13,113,66,54.07,Open,59.0,Metro Logistics,United States,Net 60,SKU-0064,Electronics Product 64, Electronics ,43.93,247.73,8,Y,0.584070796460177
5076,3,100,Draper,2026-04-22,2026-05-31,2026-05-31,488,477,127.11,Closed,39.0,Primesource,Vietnam,Net 45,SKU-0100,Beauty Product 100, Beauty ,127.41,233.57,3,Y,0.9774590163934426
5077,5,52,South Jordan,2026-02-22,2026-03-09,2026-03-04,231,216,145.85,Open,10.0,Utah Wholesale,Mexico,Net 60,SKU-0052,Home Product 52,Home,134.92,59.3,5,Y,0.935064935064935
5078,6,114,West Valley,2026-02-01,2026-02-19,,532,0,198.53,Closed,,Evergreen Imports,Vietnam,Net 30,SKU-0114,Kitchen Product 114, Kitchen ,179.41,171.86,6,N,0.0
5079,7,63,Unknown,2026-03-30,2026-04-10,2026-04-06,718,688,36.83,Closed,7.0,Summit Trading,China,Net 30,SKU-0063,Beauty Product 63,BEAUTY,32.86,214.86,7,Unknown,0.958217270194986
5080,5,19,Unknown,2026-03-18,2026-04-10,2026-04-22,143,98,81.56,Open,35.0,Utah Wholesale,Mexico,Net 60,SKU-0019,Home Product 19, Home ,71.78,298.89,5,Y,0.6853146853146853
5081,6,113,Salt Lake City,2026-04-04,2026-04-14,2026-04-21,868,845,89.33,Closed,17.0,Evergreen Imports,Vietnam,Net 30,SKU-0113,Sports Product 113,sports,75.77,84.34,6,N,0.9735023041474654
5082,5,131,Salt Lake City,2026-03-24,2026-04-27,2026-04-25,169,123,52.71,Closed,32.0,Utah Wholesale,Mexico,Net 60,SKU-0131,Home Product 131,HOM,44.34,57.46,5,Unknown,0.727810650887574
5083,8,94,Lehi,2026-03-17,2026-04-14,2026-04-16,834,828,122.54,Partial,30.0,Metro Logistics,United States,Net 60,SKU-0094,Electronics Product 94,Electronics,117.48,53.67,8,N,0.9928057553956836
5084,5,19,South Jordan,2026-03-29,2026-05-06,2026-05-25,286,265,70.85,Closed,57.0,Utah Wholesale,Mexico,Net 60,SKU-0019,Home Product 19, Home ,71.78,298.89,5,Y,0.9265734265734266
5085,3,67,Lehi,2026-04-26,2026-05-20,2026-06-08,163,162,22.89,Closed,43.0,Primesource,Vietnam,Net 45,SKU-0067,Kitchen Product 67,Kitchen,25.18,291.56,3,Y,0.9938650306748468
5086,6,95,Lehi,2026-04-25,2026-05-25,2026-05-29,987,957,81.07,Closed,34.0,Evergreen Imports,Vietnam,Net 30,SKU-0095,Electronics Product 95,ELECTRONICS,71.34,75.32,6,Y,0.9696048632218844
5087,3,76,Draper,2026-01-10,2026-01-25,2026-01-29,899,898,123.68,Closed,19.0,Primesource,Vietnam,Net 45,SKU-0076,Pet Product 76, Pet ,123.23,160.68,3,N,0.9988876529477196
5088,8,150,Unknown,2026-02-17,2026-03-05,2026-03-08,392,367,62.05,Closed,19.0,Metro Logistics,United States,Net 60,SKU-0150,Sports Product 150,Sports,54.5,100.09,8,Unknown,0.9362244897959184
5089,4,44,South Jordan,2026-02-28,2026-03-16,2026-03-27,341,310,18.0,Closed,27.0,Blue Ridge,United States,Unknown,SKU-0044,Home Product 44,home,16.99,34.37,4,N,0.9090909090909092
5090,1,135,Salt Lake City,2026-04-04,2026-04-22,2026-04-29,34,13,54.55,Closed,25.0,Acme Supply,China,Net 60,SKU-0135,Kitchen Product 135,KIT,48.81,41.03,1,Unknown,0.3823529411764705
5091,1,80,Salt Lake City,2026-01-23,2026-02-13,2026-02-27,816,775,104.47,Closed,35.0,Acme Supply,China,Net 60,SKU-0080,Beauty Product 80, Beauty ,91.52,84.54,1,Unknown,0.9497549019607844
5092,6,92,Unknown,2026-04-08,2026-05-14,2026-05-29,948,934,69.48,Closed,51.0,Evergreen Imports,Vietnam,Net 30,SKU-0092,Beauty Product 92,BEAUTY,81.27,23.27,6,N,0.9852320675105484
5093,8,94,Unknown,2025-12-10,2026-01-11,2026-01-16,539,505,103.02,Open,37.0,Metro Logistics,United States,Net 60,SKU-0094,Electronics Product 94,Electronics,117.48,53.67,8,N,0.9369202226345084
5094,1,21,Draper,2025-12-16,2026-01-20,2026-01-22,270,226,53.68,Closed,37.0,Acme Supply,China,Net 60,SKU-0021,Kitchen Product 21,Kitchen,56.36,60.07,1,N,0.837037037037037
5095,1,59,Salt Lake City,2026-03-28,2026-04-15,2026-04-29,292,245,173.81,Closed,32.0,Acme Supply,China,Net 60,SKU-0059,Sports Product 59,SPORTS,162.32,0.0,1,Y,0.839041095890411
5096,8,17,South Jordan,2026-01-04,2026-02-13,2026-02-14,253,224,41.11,Open,41.0,Metro Logistics,United States,Net 60,SKU-0017,Office Product 17,OFFICE,43.38,299.3,8,Y,0.8853754940711462
5097,2,138,South Jordan,2025-12-15,2026-01-11,2026-01-08,221,216,79.62,Closed,24.0,Global Goods,United States,Net 60,SKU-0138,Pet Product 138,PET,76.46,106.5,2,Unknown,0.9773755656108596
5098,3,51,Salt Lake City,2025-12-27,2026-02-06,2026-02-20,518,481,55.67,Closed,55.0,Primesource,Vietnam,Net 45,SKU-0051,Electronics Product 51,ELECT,57.39,204.07,3,Y,0.9285714285714286
5099,1,29,Salt Lake City,2026-03-25,2026-04-13,2026-04-28,649,633,55.74,Closed,34.0,Acme Supply,China,Net 60,SKU-0029,Pet Product 29,Pet,48.38,33.25,1,Y,0.975346687211094
5100,4,70,Lehi,2026-04-07,2026-04-25,2026-05-05,546,530,92.49,Open,28.0,Blue Ridge,United States,Unknown,SKU-0070,Office Product 70,Office,95.99,244.86,4,Y,0.9706959706959708
5101,8,64,Salt Lake City,2026-02-27,2026-03-23,2026-04-03,336,288,48.34,Closed,35.0,Metro Logistics,United States,Net 60,SKU-0064,Electronics Product 64, Electronics ,43.93,247.73,8,Y,0.8571428571428571
5102,5,125,Draper,2025-12-03,2025-12-30,2026-01-10,501,497,75.03,Closed,38.0,Utah Wholesale,Mexico,Net 60,SKU-0125,Beauty Product 125,BEA,71.57,273.92,5,Unknown,0.9920159680638724
5103,1,78,Draper,2025-12-26,2026-01-30,2026-02-15,571,522,52.24,Open,51.0,Acme Supply,China,Net 60,SKU-0078,Beauty Product 78,BEAUTY,44.31,71.75,1,Y,0.914185639229422
5104,7,60,Salt Lake City,2026-01-25,2026-02-20,2026-02-25,804,761,129.28,Partial,31.0,Summit Trading,China,Net 30,SKU-0060,Beauty Product 60,beauty,121.71,115.8,7,Y,0.9465174129353234
5105,2,54,Draper,2026-04-27,2026-05-13,2026-05-14,804,794,164.82,Open,17.0,Global Goods,United States,Net 60,SKU-0054,Pet Product 54,PET,163.43,256.14,2,N,0.9875621890547264
5106,4,41,South Jordan,2026-02-23,2026-04-04,,689,0,131.47,Partial,,Blue Ridge,United States,Unknown,SKU-0041,Office Product 41,OFF,120.83,153.7,4,Y,0.0
5107,1,59,Draper,2026-02-07,2026-03-16,,874,0,157.69,Partial,,Acme Supply,China,Net 60,SKU-0059,Sports Product 59,SPORTS,162.32,0.0,1,Y,0.0
5108,6,86,South Jordan,2026-03-02,2026-03-29,2026-04-06,596,596,130.83,Closed,35.0,Evergreen Imports,Vietnam,Net 30,SKU-0086,Pet Product 86,Pet,129.87,81.83,6,Y,1.0
5109,3,15,Salt Lake City,2026-03-16,2026-04-14,2026-04-13,487,442,184.88,Closed,28.0,Primesource,Vietnam,Net 45,SKU-0015,Pet Product 15, Pet ,159.82,198.21,3,Y,0.9075975359342916
5110,2,54,South Jordan,2026-02-05,2026-03-02,2026-02-25,349,329,166.86,Open,20.0,Global Goods,United States,Net 60,SKU-0054,Pet Product 54,PET,163.43,256.14,2,N,0.9426934097421203
5111,4,144,Salt Lake City,2026-01-22,2026-02-11,2026-02-20,896,881,9.64,Closed,29.0,Blue Ridge,United States,Unknown,SKU-0144,Pet Product 144,Pet,10.05,194.56,4,N,0.9832589285714286
5112,5,84,South Jordan,2026-04-03,2026-05-17,2026-05-13,819,804,150.51,Partial,40.0,Utah Wholesale,Mexico,Net 60,SKU-0084,Pet Product 84,pet,135.14,150.28,5,Unknown,0.9816849816849816
5113,6,97,South Jordan,2025-12-17,2025-12-30,2026-01-04,302,284,8.94,Open,18.0,Evergreen Imports,Vietnam,Net 30,SKU-0097,Home Product 97, Home ,8.39,168.73,6,N,0.9403973509933776
5114,6,121,Draper,2026-01-05,2026-01-16,2026-02-04,770,761,55.61,Open,30.0,Evergreen Imports,Vietnam,Net 30,SKU-0121,Electronics Product 121,ELECT,54.76,151.43,6,N,0.9883116883116884
5115,6,77,Unknown,2026-04-27,2026-05-16,2026-05-25,271,223,93.4,Partial,28.0,Evergreen Imports,Vietnam,Net 30,SKU-0077,Home Product 77,HOME,95.2,195.39,6,Y,0.8228782287822878
5116,5,143,West Valley,2026-04-16,2026-05-11,2026-05-10,810,787,47.04,Closed,24.0,Utah Wholesale,Mexico,Net 60,SKU-0143,Pet Product 143,Pet,40.62,171.53,5,N,0.971604938271605
5117,3,55,Lehi,2026-01-18,2026-02-14,2026-02-23,390,374,12.51,Open,36.0,Primesource,Vietnam,Net 45,SKU-0055,Office Product 55,OFFICE,12.72,110.06,3,N,0.958974358974359
5118,5,6,Salt Lake City,2026-01-06,2026-01-20,2026-01-28,425,392,25.71,Open,22.0,Utah Wholesale,Mexico,Net 60,SKU-0006,Home Product 6, Home ,21.93,256.54,5,Unknown,0.9223529411764706
5119,5,132,West Valley,2026-03-07,2026-03-15,2026-03-11,536,486,18.52,Open,4.0,Utah Wholesale,Mexico,Net 60,SKU-0132,Toys Product 132,Toys,15.44,240.9,5,N,0.9067164179104478
5120,2,126,Salt Lake City,2026-02-12,2026-03-27,2026-03-24,772,737,91.99,Open,40.0,Global Goods,United States,Net 60,SKU-0126,Office Product 126,OFFICE,104.51,32.17,2,Unknown,0.9546632124352332
5121,8,137,Draper,2026-01-11,2026-02-19,2026-02-16,607,559,44.81,Open,36.0,Metro Logistics,United States,Net 60,SKU-0137,Pet Product 137,PET,36.76,181.82,8,Y,0.9209225700164744
5122,7,111,Salt Lake City,2026-02-10,2026-03-18,2026-04-05,175,164,189.74,Open,54.0,Summit Trading,China,Net 30,SKU 0111,Electronics Product 111,ELECT,170.91,39.4,7,N,0.9371428571428572
5123,3,87,Salt Lake City,2026-03-28,2026-05-07,2026-05-25,859,834,38.6,Open,58.0,Primesource,Vietnam,Net 45,SKU-0087,Home Product 87,home,31.4,124.17,3,N,0.9708963911525028
5124,3,76,Lehi,2025-12-03,2026-01-03,2026-01-05,350,336,125.8,Open,33.0,Primesource,Vietnam,Net 45,SKU-0076,Pet Product 76, Pet ,123.23,160.68,3,N,0.96
5125,5,84,West Valley,2026-04-17,2026-05-23,2026-05-24,808,763,159.28,Open,37.0,Utah Wholesale,Mexico,Net 60,SKU-0084,Pet Product 84,pet,135.14,150.28,5,Unknown,0.9443069306930691
5126,8,40,Salt Lake City,2026-01-19,2026-02-04,2026-02-04,123,74,152.68,Closed,16.0,Metro Logistics,United States,Net 60,SKU-0040,Office Product 40,Office,177.43,90.58,8,Y,0.6016260162601627
5127,7,139,Draper,2026-03-01,2026-03-12,2026-03-17,970,958,72.57,Partial,16.0,Summit Trading,China,Net 30,SKU-0139,Toys Product 139,TOYS,77.04,156.21,7,Unknown,0.9876288659793816
5128,6,42,Draper,2026-03-20,2026-04-13,2026-04-14,810,782,105.52,Open,25.0,Evergreen Imports,Vietnam,Net 30,SKU-0042,Beauty Product 42,Beauty,106.36,169.53,6,Y,0.965432098765432
5129,6,97,South Jordan,2025-12-08,2026-01-12,2026-01-30,233,205,8.41,Closed,53.0,Evergreen Imports,Vietnam,Net 30,SKU-0097,Home Product 97, Home ,8.39,168.73,6,N,0.8798283261802575
5130,3,51,Unknown,2026-01-23,2026-02-23,2026-02-21,115,78,71.03,Open,29.0,Primesource,Vietnam,Net 45,SKU-0051,Electronics Product 51,ELECT,57.39,204.07,3,Y,0.6782608695652174
5131,8,32,West Valley,2026-01-12,2026-02-01,2026-02-11,778,752,108.51,Closed,30.0,Metro Logistics,United States,Net 60,SKU-0032,Pet Product 32,pet,99.37,221.16,8,N,0.9665809768637532
