product_id,sku,product_name,category,standard_cost,selling_price,supplier_id,active_flag
56,SKU-0056,Sports Product 56,sports,134.72,172.23,7,Y
57,SKU-0057,Electronics Product 57,Electronics,18.17,266.69,3,Y
58,SKU-0058,Electronics Product 58,ELECTRONICS,106.94,57.21,3,Y
59,SKU-0059,Sports Product 59,SPORTS,162.32,0.0,1,Y
60,SKU-0060,Beauty Product 60,beauty,121.71,115.8,7,Y
61,SKU-0061,Toys Product 61,toys,156.31,293.22,3,N
62,SKU-0062,Electronics Product 62,electronics,133.9,109.67,7,Unknown
63,SKU-0063,Beauty Product 63,BEAUTY,32.86,214.86,7,Unknown
64,SKU-0064,Electronics Product 64, Electronics ,43.93,247.73,8,Y
65,SKU-0065,Sports Product 65,sports,44.01,203.11,7,Y
66,SKU-0066,Sports Product 66,Sports,174.21,94.55,7,N
67,SKU-0067,Kitchen Product 67,Kitchen,25.18,291.56,3,Y
68,SKU-0068,Sports Product 68,Sports,23.97,138.85,6,N
69,SKU-0069,Home Product 69, Home ,162.41,69.17,1,N
70,SKU-0070,Office Product 70,Office,95.99,244.86,4,Y
71,SKU-0071,Office Product 71,Office,171.05,277.42,6,N
72,SKU-0072,Home Product 72,HOME,93.75,205.06,6,N
73,SKU-0073,Sports Product 73,SPO,27.28,134.83,7,N
74,SKU 0074,Toys Product 74,TOY,104.59,130.73,1,Y
75,SKU-0075,Sports Product 75,sports,80.23,180.3,6,N
76,SKU-0076,Pet Product 76, Pet ,123.23,160.68,3,N
77,SKU-0077,Home Product 77,HOME,95.2,195.39,6,Y
78,SKU-0078,Beauty Product 78,BEAUTY,44.31,71.75,1,Y
79,SKU-0079,Beauty Product 79, Beauty ,111.97,234.02,8,N
80,SKU-0080,Beauty Product 80, Beauty ,91.52,84.54,1,Unknown
81,SKU-0081,Home Product 81, Home ,43.3,244.17,8,Y
82,SKU-0082,Beauty Product 82,Beauty,84.88,243.4,6,Unknown
83,SKU-0083,Pet Product 83,PET,147.63,269.23,7,Unknown
84,SKU-0084,Pet Product 84,pet,135.14,150.28,5,Unknown
85,SKU-0085,Beauty Product 85,BEAUTY,139.02,163.57,4,Y
86,SKU-0086,Pet Product 86,Pet,129.87,81.83,6,Y
87,SKU-0087,Home Product 87,home,31.4,124.17,3,N
88,SKU-0088,Beauty Product 88,Beauty,77.6,109.3,8,N
89,SKU-0089,Electronics Product 89,electronics,150.76,126.0,1,Unknown
90,SKU-0090,Office Product 90, Office ,6.03,115.25,7,Unknown
91,SKU-0091,Office Product 91,OFF,135.82,170.65,4,N
92,SKU-0092,Beauty Product 92,BEAUTY,81.27,23.27,6,N
93,SKU-0093,Office Product 93,office,152.09,277.07,1,N
94,SKU-0094,Electronics Product 94,Electronics,117.48,53.67,8,N
95,SKU-0095,Electronics Product 95,ELECTRONICS,71.34,75.32,6,Y
96,SKU-0096,Office Product 96,OFFICE,136.6,252.1,5,Unknown
97,SKU-0097,Home Product 97, Home ,8.39,168.73,6,N
98,SKU-0098,Home Product 98,Home,136.99,285.64,4,Unknown
99,SKU-0099,Electronics Product 99,ELECT,31.67,50.97,2,Y
100,SKU-0100,Beauty Product 100, Beauty ,127.41,233.57,3,Y
101,SKU-0101,Home Product 101,home,173.83,45.81,1,Y
102,SKU-0102,Office Product 102, Office ,169.76,71.52,4,Y
103,SKU-0103,Sports Product 103,SPO,145.97,241.92,1,Y
104,SKU-0104,Office Product 104,OFFICE,17.07,199.55,1,Unknown
105,SKU-0105,Office Product 105, Office ,23.47,288.82,8,N
106,SKU-0106,Toys Product 106, Toys ,64.54,65.2,5,Y
107,SKU-0107,Pet Product 107, Pet ,81.23,223.34,5,Y
108,SKU-0108,Beauty Product 108,Beauty,53.81,143.48,8,Y
109,SKU-0109,Office Product 109,OFFICE,10.02,257.52,3,N
110,SKU-0110,Beauty Product 110,BEAUTY,144.62,112.0,5,Y
111,SKU 0111,Electronics Product 111,ELECT,170.91,39.4,7,N
112,SKU-0112,Beauty Product 112, Beauty ,118.03,154.88,1,Y
113,SKU-0113,Sports Product 113,sports,75.77,84.34,6,N
114,SKU-0114,Kitchen Product 114, Kitchen ,179.41,171.86,6,N
115,SKU-0115,Pet Product 115,PET,58.66,80.7,4,Y
116,SKU-0116,Home Product 116,HOM,171.4,211.7,4,N
117,SKU-0117,Pet Product 117,PET,131.8,293.33,5,Y
118,SKU-0118,Beauty Product 118,BEAUTY,44.81,0.0,3,Y
119,SKU-0119,Electronics Product 119,ELECT,27.15,27.97,1,Y
120,SKU-0120,Sports Product 120,sports,116.63,229.55,2,Unknown
121,SKU-0121,Electronics Product 121,ELECT,54.76,151.43,6,N
122,SKU-0122,Electronics Product 122,ELECTRONICS,169.69,151.15,2,N
123,SKU-0123,Pet Product 123,Pet,105.98,210.64,3,N
124,SKU-0124,Sports Product 124,Sports,178.94,48.76,7,Y
125,SKU-0125,Beauty Product 125,BEA,71.57,273.92,5,Unknown
126,SKU-0126,Office Product 126,OFFICE,104.51,32.17,2,Unknown
127,SKU-0127,Beauty Product 127,beauty,51.31,38.14,4,N
128,SKU-0128,Home Product 128,home,5.47,143.39,8,Y
129,SKU-0129,Electronics Product 129,electronics,55.42,95.57,8,Y
130,SKU-0130,Beauty Product 130,BEAUTY,142.87,193.14,4,N
131,SKU-0131,Home Product 131,HOM,44.34,57.46,5,Unknown
132,SKU-0132,Toys Product 132,Toys,15.44,240.9,5,N
133,SKU-0133,Home Product 133, Home ,125.52,214.42,5,Y
134,SKU-0134,Pet Product 134, Pet ,19.08,26.36,7,N
135,SKU-0135,Kitchen Product 135,KIT,48.81,41.03,1,Unknown
136,SKU-0136,Sports Product 136,SPO,12.04,230.54,8,Y
137,SKU-0137,Pet Product 137,PET,36.76,181.82,8,Y
138,SKU-0138,Pet Product 138,PET,76.46,106.5,2,Unknown
139,SKU-0139,Toys Product 139,TOYS,77.04,156.21,7,Unknown
140,SKU-0140,Electronics Product 140, Electronics ,20.41,86.93,2,Unknown
141,SKU-0141,Office Product 141,OFF,149.36,15.33,8,N
142,SKU-0142,Electronics Product 142,electronics,95.73,192.45,8,N
143,SKU-0143,Pet Product 143,Pet,40.62,171.53,5,N
144,SKU-0144,Pet Product 144,Pet,10.05,194.56,4,N
145,SKU-0145,Toys Product 145,TOYS,101.4,172.39,2,N
146,SKU-0146,Home Product 146, Home ,170.74,199.6,3,N
147,SKU-0147,Sports Product 147,SPO,128.45,133.41,8,N
148,SKU 0148,Beauty Product 148, Beauty ,101.47,124.32,3,Unknown
149,SKU-0149,Home Product 149,HOME,140.22,258.51,6,Unknown
150,SKU-0150,Sports Product 150,Sports,54.5,100.09,8,Unknown
151,SKU-0010,Beauty Product 10 Dup,Beauty,71.52,144.22,6,N
152,SKU-0020,Electronics Product 20 Dup,Electronics,124.3,168.04,5,Unknown
153,SKU-0030,Beauty Product 30 Dup,BEA,43.54,35.23,1,N
